sin,time_a,county,cnt,sintype
fig4,16:05,新北市,179,w_test_2
fig4,15:15,屏東縣,273,w_test_2
fig4,14:25,高雄市,2068,w_test_2
fig4,17:25,台南市,767,w_test_2
fig4,15:50,台中市,450,w_test_2
fig4,17:10,台南市,815,w_test_2
fig4,15:00,屏東縣,293,w_test_2
fig4,14:40,台南市,7196,w_test_2
fig4,14:55,台南市,6959,w_test_2
fig4,14:10,高雄市,2000,w_test_2
fig4,16:50,高雄市,299,w_test_2
fig4,13:35,新北市,181,w_test_2
fig4,13:45,新北市,212,w_test_2
fig4,17:20,台南市,919,w_test_2
fig4,13:35,台中市,431,w_test_2
fig4,16:15,新北市,165,w_test_2
fig4,15:25,屏東縣,304,w_test_2
fig4,14:20,高雄市,2092,w_test_2
fig4,14:35,高雄市,2033,w_test_2
fig4,16:05,台中市,271,w_test_2
fig4,14:50,台南市,7170,w_test_2
fig4,15:10,屏東縣,276,w_test_2
fig4,17:05,高雄市,210,w_test_2
fig4,16:00,新北市,189,w_test_2
fig4,13:30,新北市,184,w_test_2
fig4,17:20,屏東縣,47,w_test_2
fig4,15:30,台中市,432,w_test_2
fig4,15:40,新北市,240,w_test_2
fig4,14:20,台南市,7093,w_test_2
fig4,16:45,高雄市,346,w_test_2
fig4,14:50,屏東縣,296,w_test_2
fig4,14:35,台南市,7175,w_test_2
fig4,16:30,高雄市,467,w_test_2
fig4,15:55,新北市,203,w_test_2
fig4,17:05,台南市,862,w_test_2
fig4,14:05,高雄市,1976,w_test_2
fig4,15:45,台中市,448,w_test_2
fig4,14:30,高雄市,2027,w_test_2
fig4,16:00,台中市,332,w_test_2
fig4,16:25,新北市,113,w_test_2
fig4,15:20,屏東縣,292,w_test_2
fig4,16:10,新北市,170,w_test_2
fig4,15:05,台南市,6650,w_test_2
fig4,17:00,高雄市,223,w_test_2
fig4,13:30,台中市,421,w_test_2
fig4,17:30,台南市,305,w_test_2
fig4,15:35,屏東縣,282,w_test_2
fig4,13:55,新北市,206,w_test_2
fig4,13:45,台中市,524,w_test_2
fig4,16:15,台中市,259,w_test_2
fig4,17:15,高雄市,243,w_test_2
fig4,13:40,新北市,196,w_test_2
fig4,14:45,高雄市,2122,w_test_2
fig4,16:00,屏東縣,212,w_test_2
fig4,14:35,新北市,229,w_test_2
fig4,14:25,台中市,471,w_test_2
fig4,14:20,新北市,224,w_test_2
fig4,15:40,台南市,5880,w_test_2
fig4,14:10,台中市,430,w_test_2
fig4,15:25,高雄市,1854,w_test_2
fig4,15:55,台南市,4770,w_test_2
fig4,17:05,新北市,15,w_test_2
fig4,16:50,台中市,98,w_test_2
fig4,16:15,屏東縣,214,w_test_2
fig4,13:30,屏東縣,223,w_test_2
fig4,13:45,屏東縣,248,w_test_2
