sin,time_a,town,cnt,sintype
fig5,16:00,新化區,312,w_test_2
fig5,15:55,善化區,225,w_test_2
fig5,13:50,新市區,470,w_test_2
fig5,15:15,北區,316,w_test_2
fig5,15:50,北區,266,w_test_2
fig5,14:10,善化區,369,w_test_2
fig5,15:30,安南區,491,w_test_2
fig5,15:45,東區,463,w_test_2
fig5,13:35,永康區,792,w_test_2
fig5,15:55,新化區,411,w_test_2
fig5,15:25,永康區,962,w_test_2
fig5,16:00,善化區,183,w_test_2
fig5,14:00,新市區,475,w_test_2
fig5,17:20,安南區,94,w_test_2
fig5,15:45,新市區,399,w_test_2
fig5,13:50,東區,521,w_test_2
fig5,16:00,永康區,670,w_test_2
fig5,16:30,新化區,204,w_test_2
fig5,13:55,北區,353,w_test_2
fig5,14:10,永康區,1118,w_test_2
fig5,14:05,善化區,364,w_test_2
fig5,16:20,新市區,255,w_test_2
fig5,14:40,善化區,367,w_test_2
fig5,16:20,東區,164,w_test_2
fig5,15:25,安南區,491,w_test_2
fig5,17:15,安南區,61,w_test_2
fig5,13:55,善化區,362,w_test_2
fig5,14:30,新市區,489,w_test_2
fig5,14:00,新化區,614,w_test_2
fig5,13:55,新化區,558,w_test_2
fig5,14:00,北區,390,w_test_2
fig5,16:30,善化區,86,w_test_2
fig5,13:45,東區,503,w_test_2
fig5,15:55,永康區,761,w_test_2
fig5,13:45,新市區,444,w_test_2
fig5,15:45,北區,306,w_test_2
fig5,13:30,安南區,569,w_test_2
fig5,14:55,善化區,369,w_test_2
fig5,16:45,新化區,137,w_test_2
fig5,13:45,安南區,577,w_test_2
fig5,16:15,永康區,417,w_test_2
fig5,16:35,新市區,201,w_test_2
fig5,15:00,新化區,583,w_test_2
fig5,16:50,永康區,160,w_test_2
fig5,14:50,新化區,586,w_test_2
fig5,14:30,安南區,609,w_test_2
fig5,16:35,東區,138,w_test_2
fig5,16:40,北區,84,w_test_2
fig5,14:40,東區,594,w_test_2
fig5,14:05,東區,539,w_test_2
fig5,16:05,北區,168,w_test_2
fig5,14:25,永康區,1087,w_test_2
fig5,14:15,新化區,597,w_test_2
fig5,14:15,北區,407,w_test_2
fig5,15:00,善化區,374,w_test_2
fig5,14:45,新市區,437,w_test_2
fig5,16:45,善化區,51,w_test_2
fig5,16:20,安南區,217,w_test_2
fig5,17:00,永康區,184,w_test_2
