sin,time_a,age_type,cnt,sintype
fig8,14:35,50-59歲,3714,w_test_2
fig8,16:35,30-39歲,369,w_test_2
fig8,15:25,50-59歲,3387,w_test_2
fig8,17:25,30-39歲,270,w_test_2
fig8,13:50,40-49歲,2120,w_test_2
fig8,14:00,20-29歲,624,w_test_2
fig8,13:45,50-59歲,3265,w_test_2
fig8,15:30,40-49歲,2090,w_test_2
fig8,15:45,20-29歲,590,w_test_2
fig8,15:50,60歲以上,3046,w_test_2
fig8,17:05,50-59歲,318,w_test_2
fig8,17:25,20-29歲,166,w_test_2
fig8,14:55,30-39歲,1167,w_test_2
fig8,15:05,60歲以上,3684,w_test_2
fig8,16:20,40-49歲,1120,w_test_2
fig8,17:30,60歲以上,41,w_test_2
fig8,16:15,50-59歲,1488,w_test_2
fig8,14:55,20-29歲,602,w_test_2
fig8,14:15,60歲以上,3871,w_test_2
fig8,16:40,60歲以上,382,w_test_2
fig8,14:40,40-49歲,2301,w_test_2
fig8,15:45,30-39歲,1093,w_test_2
fig8,14:00,30-39歲,1281,w_test_2
fig8,17:10,40-49歲,302,w_test_2
fig8,16:35,20-29歲,275,w_test_2
fig8,13:30,20-29歲,530,w_test_2
fig8,13:30,30-39歲,991,w_test_2
fig8,16:40,40-49歲,625,w_test_2
fig8,15:05,40-49歲,2254,w_test_2
fig8,16:00,30-39歲,836,w_test_2
fig8,14:35,60歲以上,3692,w_test_2
fig8,15:25,60歲以上,3559,w_test_2
fig8,16:55,20-29歲,255,w_test_2
fig8,13:45,60歲以上,3525,w_test_2
fig8,15:10,30-39歲,1057,w_test_2
fig8,14:15,40-49歲,2323,w_test_2
fig8,14:20,30-39歲,1320,w_test_2
fig8,16:15,60歲以上,1542,w_test_2
fig8,14:55,50-59歲,3612,w_test_2
fig8,17:25,50-59歲,312,w_test_2
fig8,14:00,50-59歲,3634,w_test_2
fig8,15:10,20-29歲,583,w_test_2
fig8,16:35,50-59歲,636,w_test_2
fig8,17:30,40-49歲,156,w_test_2
fig8,16:55,30-39歲,304,w_test_2
fig8,15:45,50-59歲,2903,w_test_2
fig8,15:50,40-49歲,1881,w_test_2
fig8,16:00,20-29歲,465,w_test_2
fig8,14:20,20-29歲,705,w_test_2
fig8,17:05,60歲以上,236,w_test_2
fig8,14:20,50-59歲,3603,w_test_2
fig8,16:00,50-59歲,2190,w_test_2
fig8,16:20,30-39歲,506,w_test_2
fig8,15:25,40-49歲,2020,w_test_2
fig8,17:10,20-29歲,245,w_test_2
fig8,15:10,50-59歲,3367,w_test_2
fig8,15:30,30-39歲,1089,w_test_2
fig8,16:55,50-59歲,380,w_test_2
fig8,14:35,40-49歲,2288,w_test_2
fig8,17:10,30-39歲,271,w_test_2
fig8,13:50,30-39歲,1133,w_test_2
fig8,16:15,40-49歲,1188,w_test_2
fig8,14:40,20-29歲,657,w_test_2
